Model Name,Granularity,Magnification,Modality,Pretrain,Frozen,Vote,Accuracy
ConvNextLarge,512,20x,heightmap,pretrained,unfrozen,novote,26.2
ConvNextLarge,512,20x,heightmap,pretrained,unfrozen,vote,27.72
ConvNextLarge,512,20x,heightmap,pretrained,frozen,novote,29.66
ConvNextLarge,512,20x,heightmap,pretrained,frozen,vote,34.18
ConvNextLarge,512,20x+50x,texture,scratch,unfrozen,novote,49.33
ConvNextLarge,512,20x+50x,texture,scratch,unfrozen,vote,49.26
ConvNextLarge,512,20x+50x,texture,scratch,frozen,novote,51.5
ConvNextLarge,512,20x+50x,texture,scratch,frozen,vote,38.24
ConvNextLarge,512,20x+50x,texture,pretrained,unfrozen,novote,24.0
ConvNextLarge,512,20x+50x,texture,pretrained,unfrozen,vote,35.29
ConvNextLarge,512,20x+50x,texture,pretrained,frozen,novote,54.83
ConvNextLarge,512,20x+50x,texture,pretrained,frozen,vote,55.88
ConvNextLarge,512,20x+50x,heightmap,scratch,unfrozen,novote,38.17
ConvNextLarge,512,20x+50x,heightmap,scratch,unfrozen,vote,44.12
ConvNextLarge,512,20x+50x,heightmap,scratch,frozen,novote,36.17
ConvNextLarge,512,20x+50x,heightmap,scratch,frozen,vote,36.76
ConvNextLarge,512,20x+50x,heightmap,pretrained,unfrozen,novote,37.17
ConvNextLarge,512,20x+50x,heightmap,pretrained,unfrozen,vote,35.29
ConvNextLarge,512,20x+50x,heightmap,pretrained,frozen,novote,67.67
